Item No.,Part Name / Description,Supplier Example(s),Qty,Estimated Unit Price (USD),Estimated Total Price + shipping (USD),Link
1,ESP32 Development Board,AliExpress,1,7.62,9.61,"https://www.aliexpress.com/item/1005005776600877.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.56caCCWMCCWMZw&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=0a137c0b-3cdb-4ba2-b3b7-7d32966b0973&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:0a137c0b-3cdb-4ba2-b3b7-7d32966b0973,tpp_buckets:668%232846%238115%232000&pdp_ext_f=%7B%22order%22%3A%22682%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21USD%217.62%216.62%21%21%2154.28%2147.15%21%40211b653717508845671461747efa03%2112000034313809659%21rec%21NG%216179495610%21ABXZ&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A#nav-specification"
2,"OLED Display Module, 0.96 inch",AliExpress,1,3,4.99,https://www.aliexpress.com/item/1005004355547926.html#nav-specification
3,TCRT5000 Reflective Optical Sensor Module,AliExpress,1,0.37,3.14,https://www.aliexpress.com/item/1005002969515311.html?spm=a2g0o.productlist.main.5.662b59b5PyDyYE&algo_pvid=34382dfa-617c-4a53-a51d-32ef9b84997b&algo_exp_id=34382dfa-617c-4a53-a51d-32ef9b84997b-4&pdp_ext_f=%7B%22order%22%3A%22146%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%210.37%210.32%21%21%212.64%212.30%21%40212e509017508859925535994e4fcb%2112000023009311424%21sea%21NG%216179495610%21ABX&curPageLogUid=X37USoSNAmuX&utparam-url=scene%3Asearch%7Cquery_from%3A
4,WS2812B Addressable RGB LEDs,AliExpress,5,1.72,3.71,https://www.aliexpress.com/item/1005007989431712.html?spm=a2g0o.productlist.main.5.616829c5pBUjFR&aem_p4p_detail=2025060507524910168796842384020000317928&algo_pvid=28b9bddf-6f9e-470d-a346-415924b42045&algo_exp_id=28b9bddf-6f9e-470d-a346-415924b42045-4&pdp_ext_f=%7B%22order%22%3A%22552%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.72%211.68%21%21%2112.28%2111.99%21%40212e508d17491351699037178eb894%2112000043174887124%21sea%21NG%210%21ABX&curPageLogUid=eXpJpygRz5yd&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=2025060507524910168796842384020000317928_5
5,TTP223 Capacitive Touch Sensor Module,AliExpress,1,0.98,3.65,"https://www.aliexpress.com/item/1005007233714784.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.16.1d4cfDjCfDjCip&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=8d51122b-f2c5-4761-87b0-0a9664a9571b&_t=gps-id:pcDetailBottomMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:8d51122b-f2c5-4761-87b0-0a9664a9571b,tpp_buckets:668%232846%238115%232000&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21USD%210.98%210.78%21%21%217.00%215.60%21%40211b617b17508868034761272e0f3d%2112000039899354125%21rec%21NG%216179495610%21ABXZ&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A"
6,Resistor Kit (330 Ohm),AliExpress,1,1.12,4.24,https://www.aliexpress.com/item/1005007267462736.html?spm=a2g0o.productlist.main.3.77893bddVhNDrK&algo_pvid=a3227424-9cd7-43ec-a094-79260121f5de&algo_exp_id=a3227424-9cd7-43ec-a094-79260121f5de-2&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%210.84%210.42%21%21%216.00%213.00%21%402141115b17491358407403503ec06e%2112000040004886961%21sea%21NG%210%21ABX&curPageLogUid=hImYdqGktON5&utparam-url=scene%3Asearch%7Cquery_from%3A
7,"Capacitor Kit, Elyt., 100uF (>=10V)",AliExpress,1,2.82,4.81,https://www.aliexpress.com/item/1005005626707702.html?spm=a2g0o.productlist.main.1.6a6f6206oC5U5i&algo_pvid=6bc6d1d2-9127-418c-a8f3-0df07b8a9067&algo_exp_id=6bc6d1d2-9127-418c-a8f3-0df07b8a9067-0&pdp_ext_f=%7B%22order%22%3A%221404%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.82%212.82%21%21%2120.09%2120.09%21%40212a70c017509279654704243e84a4%2112000033796706983%21sea%21NG%216179495610%21ABX&curPageLogUid=MxvyfB5kwdC6&utparam-url=scene%3Asearch%7Cquery_from%3A
8,micro USB cable ,AliExpress,1,1.67,3.66,https://www.aliexpress.com/item/1005007740170743.html?spm=a2g0o.productlist.main.1.521852d8WdQXTa&algo_pvid=3b8c8d9a-ca7f-4ec2-965a-9edb9a230cf2&algo_exp_id=3b8c8d9a-ca7f-4ec2-965a-9edb9a230cf2-0&pdp_ext_f=%7B%22order%22%3A%2230367%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.11%211.11%21%21%211.11%211.11%21%402102f0cc17509282502068597efe17%2112000042049218048%21sea%21NG%216179495610%21ABX&curPageLogUid=LMPwFkigtOLS&utparam-url=scene%3Asearch%7Cquery_from%3A
9,Solderless Breadboard,AliExpress,1,4.81,6.8,https://www.aliexpress.com/item/1005003647931024.html?spm=a2g0o.productlist.main.1.5fab5mX85mX8wX&aem_p4p_detail=20250605081147658929990040990000308388&algo_pvid=2f376d24-bc0e-469e-a964-83c7d7e1cfbc&algo_exp_id=2f376d24-bc0e-469e-a964-83c7d7e1cfbc-0&pdp_ext_f=%7B%22order%22%3A%22691%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%213.24%213.13%21%21%213.24%213.13%21%40212e509017491363073738251ecd86%2112000026640093721%21sea%21NG%210%21ABX&curPageLogUid=YsxzGKlNdWsM&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=20250605081147658929990040990000308388_1
10,Soldering Iron & Multimeter Repair Kit,AliExpress,1,25.63,25.63,https://www.aliexpress.com/item/1005008750410096.html?spm=a2g0o.productlist.main.14.67d0cf5fzRKIol&algo_pvid=200a10ce-0c48-4311-ad23-b05c6546a68b&algo_exp_id=200a10ce-0c48-4311-ad23-b05c6546a68b-13&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2125.63%2125.63%21%21%21182.71%21182.71%21%402141131717509292024832681e3ee9%2112000046512744537%21sea%21NG%216179495610%21ABX&curPageLogUid=vZyvG1VGR76z&utparam-url=scene%3Asearch%7Cquery_from%3A
,GRAND TOTAL (ESTIMATE),,,49.74,70.24,