Item No.,Part Name / Description,Manufacturer / Part Number (MPN),Supplier Example(s),Qty,Estimated Unit Price (USD),Estimated Total Price + shipping (USD)
1,ESP32 Development Board,ESP32-DevKitC V4 ,AliExpress,1,7.62,9.61
2,"OLED Display Module, 0.96 inch",SSD1306,AliExpress,1,3,4.99
3,TCRT5000 Reflective Optical Sensor Module,TCRT5000 Module,AliExpress,1,0.37,3.14
4,WS2812B Addressable RGB LEDs,WS2812B,AliExpress,5,1.72,3.71
5,TTP223 Capacitive Touch Sensor Module,TTP223 Module,AliExpress,1,0.98,3.65
,Subtotal (Major Components),,,,,25.1
6,Resistor Kit (330 Ohm),Assorted Values,AliExpress,1,1.12,4.24
7,"Capacitor Kit, Elyt., 100uF (>=10V)",Assorted Values,AliExpress,1,2.82,4.81
8,micro USB cable ,micro USB,AliExpress,1,1.67,3.66
9,Solderless Breadboard,400 or 830 point,AliExpress,1,4.81,6.8
10,Jumper Wires Assortment,"M-M, M-F, F-F",AliExpress,2,1.54,4.43
11,Soldering Iron & Multimeter Repair Kit,Electric Soldering Iron Kit,AliExpress,1,25.63,25.63
,Subtotal (Passives & Prototyping),,,,,49.57
,GRAND TOTAL (ESTIMATE),,,,,74.67